Item Code,Brand ,Model,Type,Reel Type,Length,Joint Type,Power,Power Category,Lure Weight,Action,Material,Guide,Reel Seat,Price,Discount,CR,GV,Warranty,After Discount,Final Price,Balance
393275,Lemax,Pro Tiny,Casting,Spinning,"4'6""",2PCS,3 - 6 LB,Ultra Light,0,Moderate - Fast,Graphite,Normal,Normal,RM89,,,RM 10,0,RM 89,RM 79,0
393276,Lemax,Pro Tiny,Casting,Spinning,"5'2""",2PCS,3 - 8 LB,Ultra Light,0,Moderate,Graphite,Normal,Normal,RM95,,,RM 10,0,RM 95,RM 85,0
713705,Ugly Stik,GX2 USG XSP,Casting,Spinning,"4'9""",1PCS,8 - 20 LB,Medium,0,Extra Fast,0,Normal,Normal,RM159,,,RM 10,0,RM 159,RM 149,0
393416,Lemax,Japan Finnesse Hunter,Casting,Spinning,"5'2""",BJ,3 - 10 LB,Light,0,Slow,Carbon,Normal,Normal,RM99,,,RM 10,0,RM 99,RM 89,0
393461,Lemax,Royal President,Casting,Spinning,"5'2""",2PCS,6 - 12 LB,Medium,0,Fast,Graphite,SiC,Normal,RM95,,,RM 10,0,RM 95,RM 85,0
393025,Lemax,Bomber Max,Casting,Spinning,5',2PCS,6 - 14 LB,Medium,0,Extra Fast,Graphite,Normal,Normal,RM69,,,,0,RM 69,RM 69,0
393564,Lemax,River Monster,Casting,Spinning,5',2PCS,6 - 12 LB,Medium,0,Fast,Graphite,Normal,Normal,RM125,RM 20,,RM 10,0,RM 105,RM 95,0
843141,Bullzen,Dark Fire,Casting,Spinning,5',2PCS,6 - 12 LB,Medium,0,Moderate - Fast,0,Normal,Normal,RM180,,,RM 10,0,RM 180,RM 170,0
393572,Lemax,Raptor-X,Casting,Spinning,"5'6""",2PCS,6 - 15 LB,Medium,0,Fast,0,SiC,Normal,RM89,,,RM 10,0,RM 89,RM 79,0
393565,Lemax,River Monster,Casting,Spinning,"5'6""",2PCS,6 - 15 LB,Medium,0,Fast,0,Normal,Normal,RM130,RM 20,,RM 10,0,RM 110,RM 100,-1
543895,Shimano,FX,Casting,Spinning,"5'6""",2PCS,6 - 14 LB,Medium,0,Moderate - Fast,Aeroglass,Normal,Normal,RM45,,,,0,RM 45,RM 45,0
863048,Extend,Shark 13,Casting,Spinning,"5'6""",2PCS,5 - 12 LB,Medium,0,Fast,Carbon,Fuji,Fuji,RM96,,,RM 10,3M,RM 96,RM 86,0
863167,Extend,Shark 12,Casting,Spinning,"5'6""",2PCS,4 - 12 LB,Medium,0,Fast,Carbon,Fuji,Fuji,RM96,,,RM 10,3M,RM 96,RM 86,0
2,Extend,Shark 14,Casting,Spinning,"5'6""",2PCS,5 - 12 LB,Medium,0,Fast,Carbon,Fuji,Fuji,RM96,,,RM 10,3M,RM 96,RM 86,0
